#{"t_start": 1772813248.3537831, "env_id": "None"}
r,l,t
-156.547303,200,6967.289296
-118.013916,200,6969.645935
-126.271587,200,6971.996972
-170.018111,200,6974.302311
-112.425602,200,6976.450324
-80.11857,200,6978.831017
-138.372564,200,6981.210268
-95.994734,200,6983.556077
-93.566373,200,6985.817355
-93.981484,200,6988.037214
-122.088557,200,6990.400374
-102.567441,200,6992.645895
-95.841363,200,6995.077979
-30.47711,107,6996.286392
-83.430181,200,6998.613269
-133.540441,200,7000.900545
-109.395811,200,7003.124755
-141.363367,200,7005.523689
-100.325722,200,7007.878853
-190.526628,200,7010.317739
-24.040089,71,7011.153414
-97.36045,200,7013.614659
-90.50544,200,7016.060241
-123.300363,200,7018.281847
-140.829749,200,7020.730506
-136.816342,200,7023.055199
-140.630116,200,7025.474089
-106.520839,200,7028.083651
-132.026791,200,7030.338555
9.203027,2,7030.39265
-114.789055,200,7032.707493
-100.152654,200,7035.053042
-118.585754,200,7037.424092
-133.282805,200,7039.782861
-109.586728,200,7042.011905
-102.978012,200,7044.14593
-110.492159,200,7046.483775
-99.7225,200,7048.852967
-112.738331,200,7051.209187
-110.581664,200,7053.677753
-155.526683,200,7056.014752
-115.348257,200,7058.263928
-91.693689,200,7060.770888
-111.133913,200,7063.154343
-46.675211,93,7064.292632
-44.190156,109,7065.498601
-84.026325,200,7067.618661
-104.925546,200,7070.003641
-122.168173,200,7072.346692
-96.678544,200,7074.618874
-97.678427,200,7077.07478
-115.897076,200,7079.431416
1.616521,21,7079.682281
-127.392069,200,7081.948512
-109.063975,200,7084.384463
-92.457554,200,7086.732669
-131.122982,200,7088.89706
-99.717475,200,7091.118167
-133.894952,200,7093.494896
-97.991117,200,7095.714323
-134.892269,200,7097.946057
-132.714464,200,7100.076352
-126.660871,200,7102.505379
-80.944588,200,7104.754046
-136.490365,200,7107.13404
-130.042788,200,7109.369585
-112.068189,200,7111.656062
-97.894338,200,7114.074944
-98.613241,200,7116.431072
-0.401509,21,7116.691972
-17.403096,66,7117.516323
-97.48816,200,7119.951532
-96.924183,200,7122.32784
-119.799955,200,7124.571016
-124.164612,200,7126.919676
-140.330124,200,7129.261605
-118.841614,200,7131.607395
-99.175606,200,7133.861853
-119.157225,200,7136.381032
-92.163381,200,7138.624978
-106.460862,200,7140.974314
-88.919523,200,7143.332837
-1.379532,27,7143.68018
-107.785558,200,7146.031063
-103.104545,200,7148.584769
-103.946512,200,7150.911064
-117.895878,200,7153.168536
-88.714299,200,7155.414388
-119.021926,200,7157.680402
-99.103445,200,7159.915893
-97.575965,200,7162.411964
-106.561538,200,7164.652205
-107.483438,200,7166.919511
-174.071643,200,7169.37335
-98.97997,200,7171.563949
-128.103047,200,7173.816223
6.952772,11,7173.990422
-106.679084,200,7176.222129
-101.224417,200,7178.332392
-89.581036,200,7180.731442
-166.498849,200,7183.072011
-120.477763,200,7185.45314
-119.274464,200,7187.575111
-131.686767,200,7189.820961
-98.631798,200,7192.147273
-117.815701,200,7194.502627
-86.103141,200,7196.709667
-104.398401,200,7199.077251
-102.138731,200,7201.324931
-114.45593,200,7210.455634
-84.707948,200,7215.948438
6.934321,8,7216.164298
-112.757505,200,7221.150164
-95.224661,200,7229.768898
8.023229,7,7229.900767
-2.966853,27,7230.254411
-107.987326,200,7232.747797
-105.10599,200,7235.831994
-102.713551,200,7238.227728
-159.214181,200,7240.555059
-137.406817,200,7243.206758
9.306196,3,7243.270227
-13.843875,60,7244.034808
-72.971829,200,7246.484609
-101.129172,200,7248.820882
-93.305053,200,7251.255541
-139.58532,200,7253.714025
-104.20376,200,7256.171224
5.315945,13,7256.362691
-98.289768,200,7258.805042
-71.263888,200,7261.158742
-28.134487,95,7262.363424
-24.058365,67,7263.276855
-98.106958,200,7266.237328
-154.843376,200,7268.805683
-92.278256,200,7271.267054
-116.058777,200,7273.931509
-111.990055,200,7276.248529
-0.730826,26,7276.603003
-8.014643,39,7277.106402
-87.203975,200,7279.630923
-7.676568,42,7280.172221
-131.929412,200,7282.87673
-79.205399,200,7285.338548
-115.979996,200,7287.790885
-124.303834,200,7290.165801
-112.8845,200,7292.756412
5.685239,11,7292.92921
4.405776,15,7293.184626
-9.772332,56,7294.150241
-94.699468,200,7296.579405
-91.664604,200,7298.929888
-117.548479,200,7301.431887
-108.185037,200,7303.811186
-31.051957,79,7304.821608
-109.394164,200,7307.259512
-106.137035,200,7309.646203
-110.808416,200,7311.850353
-88.783464,200,7314.533976
-146.523756,200,7317.138969
-115.778667,200,7319.608837
0.876041,23,7319.906952
-110.330924,200,7322.330413
-30.017277,78,7323.380473
-105.009833,200,7326.635969
-19.124383,77,7327.64907
-119.383181,200,7330.08876
-106.911276,200,7332.494721
-98.496468,200,7334.941779
1.814214,25,7335.261422
-127.32692,200,7337.578634
-125.17229,200,7340.126385
-94.321675,200,7342.780316
-100.687082,200,7345.12713
-99.135581,200,7347.628833
2.340713,19,7347.881173
-100.511662,200,7350.21718
-132.461521,200,7352.869007
-121.143698,200,7355.647881
-120.076018,200,7357.981686
-94.758216,200,7360.491506
-102.759717,200,7363.070215
-99.826225,200,7365.658292
3.918558,14,7365.88149
-126.70893,200,7368.292182
-125.402153,200,7370.588432
-116.897615,200,7373.050405
-123.709134,200,7375.515952
-90.358746,200,7377.85635
-118.126525,200,7380.469047
-81.200623,200,7382.932262
-144.149226,200,7385.52835
-94.406879,200,7387.737179
-104.376922,200,7390.092857
-52.004543,105,7391.420006
-17.946393,63,7392.21568
-103.819445,200,7394.654632
-106.310294,200,7397.119608
-153.228243,200,7399.578387
-129.409884,200,7402.050498
-120.577316,200,7404.458871
-126.57321,200,7406.748206
8.182288,5,7406.847741
-139.404973,200,7409.062825
-158.171715,200,7411.519812
-98.6079,200,7414.342959
-114.350003,200,7416.76775
-133.561688,200,7419.112891
-113.189409,200,7421.603379
-98.65232,200,7423.971336
-199.861486,200,7426.438112
-100.918195,200,7428.854352
-130.30031,200,7431.336665
-147.073716,200,7433.797005
-106.50189,200,7436.158117
9.402111,3,7436.238528
-109.885251,200,7438.825492
9.606117,2,7438.879364
-134.751135,200,7441.335021
-1.484323,31,7441.729861
-79.777845,200,7444.18114
-107.820409,200,7446.521386
-104.425786,200,7448.892142
-95.224786,200,7451.364686
-10.193282,39,7451.854113
-167.088428,200,7454.521283
-153.553674,200,7456.913131
-27.150776,74,7457.856323
-117.16731,200,7460.242238
-126.144032,200,7462.668101
-106.483763,200,7465.006205
-137.910635,200,7467.523867
-110.606617,200,7469.868302
-118.666365,200,7472.409366
-117.763999,200,7475.683954
-105.519047,200,7478.048885
-137.196928,200,7480.302433
-127.699952,200,7483.134338
-94.236503,200,7485.55962
-113.412958,200,7487.98928
-92.926138,200,7490.343429
-8.283664,49,7490.949404
-83.495873,200,7493.245899
-115.320399,200,7495.750606
-104.762506,200,7498.269849
-105.265607,200,7500.742299
-12.958236,46,7501.320372
-135.339807,200,7503.983082
-121.503688,200,7506.967146
-125.807892,200,7509.501605
-142.081742,200,7511.808758
-28.954508,77,7512.910941
-86.700418,200,7515.369577
-86.980545,200,7518.019147
-107.555706,200,7520.378421
-130.47261,200,7522.854208
-131.458092,200,7525.326781
-110.5952,200,7527.734275
-89.775605,200,7530.185054
-100.802062,200,7532.680072
-97.765615,200,7535.284089
-98.791429,200,7537.740135
-112.795957,200,7540.16919
-122.920439,200,7542.539955
-109.075398,200,7544.873118
-96.153762,200,7547.194129
6.002169,12,7547.379324
-97.85974,200,7549.63287
9.409614,2,7549.6943
-104.953691,200,7552.172371
-108.191518,200,7554.646517
-102.150993,200,7557.077825
-102.544195,200,7559.468405
-89.557849,200,7562.080876
-80.470762,200,7564.901352
-117.049589,200,7567.421597
-95.197334,200,7569.794012
-105.23693,200,7572.1742
-93.163728,200,7574.703899
-99.646787,200,7577.029905
-107.006734,200,7579.275839
-133.166402,200,7581.750386
-136.511836,200,7584.218099
-126.197113,200,7586.771003
-29.95339,100,7587.919975
-0.414417,21,7588.217139
-107.904835,200,7590.680078
-98.241038,200,7593.246068
-114.114522,200,7595.766792
-101.828244,200,7598.240907
-108.050413,200,7600.681154
-89.140614,200,7603.311149
-114.879736,200,7605.684613
-122.320227,200,7608.249024
-92.147767,200,7610.708262
-92.055521,200,7613.110844
-91.177812,200,7615.599855
-116.852335,200,7618.342521
-120.23127,200,7620.847852
8.966744,3,7620.921158
-120.868943,200,7623.130267
-109.788518,200,7625.762309
4.210973,15,7625.97612
-119.060622,200,7628.483965
-89.248698,200,7630.849608
-0.615447,25,7631.192724
6.172756,12,7631.369078
-115.883783,200,7633.833609
-107.127056,200,7636.319899
-68.656945,137,7637.951584
-123.995579,200,7640.404255
-142.417977,200,7642.961676
-114.874149,200,7645.305318
-127.547362,200,7647.65181
-126.245517,200,7649.870271
-122.202369,200,7652.277309
-133.816013,200,7654.797571
-0.003199,26,7655.144691
9.019223,5,7655.241221
-112.405618,200,7657.738183
-126.46151,200,7660.51081
-97.362935,200,7663.431454
4.822901,14,7663.632185
-90.955961,200,7666.072138
-108.016406,200,7668.607962
-130.861553,200,7671.318505
-105.986812,200,7674.011098
-108.630924,200,7676.83723
-137.360265,200,7679.271773
8.650043,4,7679.356957
-94.334848,200,7681.945853
-28.565686,86,7683.101368
-48.348885,148,7685.381492
-34.735553,80,7686.452522
-94.099384,200,7688.749119
-95.714881,200,7691.273957
8.224705,5,7691.369947
-71.83387,200,7693.855809
-103.085113,200,7696.195378
-93.736122,200,7698.624445
-96.052501,200,7701.503194
-99.873347,200,7704.163343
-97.066028,200,7706.740722
-133.906339,200,7709.819283
2.711745,17,7710.4186
-91.886509,200,7715.128533
0.595234,25,7715.634065
-104.195892,200,7719.562209
-94.072122,200,7723.608916
-103.506753,200,7727.571238
-131.173415,200,7731.792427
-51.914734,124,7734.130988
-139.816331,200,7738.17914
-92.521638,200,7741.909367
-105.544533,200,7746.185345
-117.34728,200,7750.081416
-113.030469,200,7753.976813
-145.531912,200,7757.956435
-110.968647,200,7763.061945
-92.668265,200,7767.979341
-78.174613,200,7772.00926
-128.224491,200,7776.19566
-83.021376,200,7780.358749
-129.798353,200,7784.608051
-112.997724,200,7788.617443
4.662434,18,7789.132335
-131.748018,200,7793.114659
-1.019059,30,7793.736275
-109.226835,200,7797.968366
-89.291418,200,7808.421943
-112.617167,200,9352.634572
-97.520686,200,9365.902513
8.218998,6,9366.165133
-158.136406,200,9375.953921
-5.559641,33,9378.171698
-106.971798,200,9401.034348
8.662539,4,9401.463693
5.779829,11,9402.292199
-90.645667,200,9410.376207
-106.269168,200,9415.377383
-79.348231,200,9418.972638
-91.178009,200,9422.149802
-122.390442,200,9425.305216
-95.963688,200,9429.155215
2.461495,22,9429.533444
-116.707891,200,9434.025381
-101.894301,200,9437.756907
-119.959041,200,9440.897307
-140.795658,200,9444.300809
-107.044954,200,9447.391086
-24.894625,72,9448.568206
-97.627546,200,9451.54314
-114.150572,200,9454.243692
-101.025707,200,9456.950513
-97.359055,200,9459.495122
-104.233312,200,9462.086602
-132.763349,200,9464.731678
-122.615734,200,9469.08654
-124.894136,200,9473.251025
-112.035291,200,9476.829372
4.682256,14,9477.058688
5.560995,11,9477.416465
-1.464456,23,9478.865053
-103.076491,200,9481.893478
-129.376193,200,9484.373112
-112.247265,200,9487.975481
-98.51382,200,9490.431431
-111.339196,200,9492.893356
-91.863955,200,9496.293107
-103.065307,200,9498.735266
-163.041542,200,9501.588477
-107.396373,200,9504.426342
-118.95968,200,9506.99653
-98.433152,200,9509.861329
-122.284894,200,9512.65157
-16.581349,61,9513.591547
-143.096636,200,9516.520898
9.501751,2,9516.619271
-100.97902,200,9519.331194
-114.362815,200,9522.338326
-93.636626,200,9526.097442
-116.869113,200,9529.242817
-121.683685,200,9532.168436
-8.265345,43,9532.824895
-124.973423,200,9536.299667
5.338644,12,9536.545183
-20.796983,67,9537.59953
-47.639487,114,9539.504456
-125.18856,200,9542.785654
-18.307694,67,9543.843653
-129.536475,200,9547.679555
-63.391865,155,9550.125077
-123.969571,200,9553.395572
-114.579291,200,9557.564143
-114.34996,200,9560.955261
-89.405897,200,9564.35826
-97.913506,200,9567.45371
-108.158869,200,9569.682035
-115.057902,200,9571.897078
-111.190723,200,9573.985313
-117.972891,200,9576.569848
