#{"t_start": 1772813248.3537831, "env_id": "None"}
r,l,t
1.166576,22,555.166164
-125.037437,200,558.681165
-101.165842,200,562.599713
-116.59505,200,572.777723
-156.354534,200,577.000806
-95.474038,200,581.248657
-102.977408,200,586.268048
-96.390344,200,592.935097
-108.152342,200,600.794936
-108.092241,200,606.024845
-143.119626,200,609.583305
-110.417377,200,612.938026
-108.954818,200,616.635717
6.346887,11,616.879127
5.431291,11,617.127089
-89.217417,200,620.746101
-88.142342,200,624.718133
-28.800774,86,626.968656
-86.232975,200,634.396081
-148.101877,200,638.525862
-128.434419,200,643.113551
-140.068535,200,648.865441
-30.943548,92,650.533608
-95.871976,200,654.138488
-65.275859,138,656.566544
-155.977974,200,660.14604
-86.826182,200,664.774677
-17.974014,73,666.161405
-140.729247,200,670.092096
9.321937,2,670.172825
-155.314895,200,673.869062
-103.653549,200,677.253018
-79.005482,200,680.994423
8.701746,4,681.099341
-92.324607,200,685.990091
-81.958979,200,689.743828
-114.436794,200,693.343619
-112.797081,200,696.805764
-134.233311,200,700.247342
-104.299148,200,703.609865
-101.281287,200,707.235439
-123.156317,200,713.087349
-107.234857,200,717.094351
2.708655,21,717.56757
-116.888196,200,722.35441
-99.594733,200,727.506385
-68.270993,185,732.449358
-105.689753,200,738.570407
-95.230395,200,742.858243
-104.06553,200,747.234247
-104.452844,200,751.581829
-50.369062,135,754.086704
-127.199022,200,760.665942
-128.133081,200,764.806789
-100.849784,200,768.621668
-152.605023,200,772.532817
-137.193417,200,776.118158
-77.661124,200,779.810966
-132.61752,200,784.100329
-166.148407,200,787.774201
-123.588135,200,791.714991
-108.694807,200,795.765988
6.467611,13,796.095448
-151.947381,200,800.177009
-97.507113,200,803.900866
-111.239101,200,807.677169
-134.973228,200,811.356688
-85.366948,200,814.897857
-96.532298,188,818.375967
-134.667476,200,821.843696
-97.467525,200,825.294122
8.43417,5,825.428511
-153.587303,200,830.333464
-106.550919,200,834.13256
-129.272623,200,837.952054
-146.948392,200,841.858611
-119.57074,200,845.697811
-33.356032,92,847.459903
-117.859413,200,851.138817
-130.594119,200,854.814844
-150.627324,200,858.341034
-101.507116,200,862.428172
-50.904903,126,864.683998
-99.448939,200,868.553577
-123.518698,200,872.321256
4.244708,18,872.695716
-77.566934,144,875.517215
-123.609945,200,879.924163
-87.581134,200,883.398836
-89.743121,200,890.025213
-134.189487,200,896.691378
-106.697618,200,901.392941
-13.524418,50,902.505201
-135.47962,200,906.193267
-194.110434,200,909.86454
4.941136,15,910.167002
-166.317706,200,913.537894
-138.520119,200,916.90931
-138.369485,200,920.288175
-125.370523,200,924.647595
-55.089953,130,927.587778
-102.811071,200,931.477053
-137.017816,200,935.187161
-112.580833,200,938.460743
-137.324837,200,942.370156
-89.75933,200,946.58555
-138.501178,200,950.138052
-103.918232,200,1040.101677
-155.067983,200,1050.749208
9.211937,3,1050.959256
-170.75492,200,1056.896975
-114.210649,200,1062.329787
-148.631064,200,1068.305298
9.388754,2,1068.419014
6.88418,9,1068.715342
7.469213,7,1068.954424
-146.947254,200,1073.737054
-112.130761,200,1078.555558
-132.355887,200,1083.130064
-92.499073,200,1105.982377
-156.540721,200,1109.312199
-112.749728,200,1113.429488
-96.567627,200,1122.7788
-117.48636,200,1126.986358
-105.594201,200,1132.401814
-140.946457,200,1137.345983
-142.936872,200,1142.255566
-35.149791,107,1145.291973
1.199624,21,1145.875101
-110.874733,200,1156.966118
-97.004892,200,1165.638205
3.966569,15,1166.211942
-170.686592,200,1169.834481
-39.322481,107,1171.652041
-99.67786,200,1175.30657
8.151599,5,1175.438184
7.2601,8,1175.625871
-115.903204,200,1179.195214
-117.49099,200,1182.520252
-95.609748,200,1186.453961
-86.051319,200,4804.799374
-125.141046,200,4828.197775
-96.714642,200,4837.572559
-120.974937,200,4846.713036
-131.490041,200,4900.848582
-103.162757,200,4908.314281
-126.563107,200,4913.596906
-96.653902,200,4918.835769
-111.711432,200,4923.553278
-88.954073,200,4929.473904
-166.239477,200,4934.122573
-112.163472,200,4937.394157
-93.8704,200,4939.809416
-99.295609,200,4942.156759
-99.537687,200,4944.443454
-113.406339,200,4946.780928
-98.212162,200,4949.073804
-94.895298,200,4952.027122
-109.11389,200,4954.511457
-4.669149,36,4954.931913
-123.028022,200,4957.24837
9.400369,3,4957.318183
-106.226918,200,4959.55286
-144.637165,200,4961.75285
-116.797342,200,4964.258517
-74.892468,200,4967.562912
-91.026119,200,4970.829223
-178.538371,200,4975.285136
-103.160626,200,4978.811358
-100.84016,200,4981.916195
-129.429956,200,4985.900148
9.569398,3,4986.012398
-78.875439,172,4988.825317
-99.697518,200,4991.978373
-153.764141,200,4994.588024
-97.200166,200,4997.145298
6.610019,10,4997.374813
-132.033243,200,4999.838317
-5.529709,33,5000.267567
6.527587,10,5000.410001
-114.145804,200,5003.321214
-134.798035,200,5006.054879
-157.856267,200,5009.333828
-57.083446,135,5011.30044
-120.91302,200,5014.44155
-136.819669,200,5017.761397
-85.156664,200,5021.097721
-23.795697,75,5022.337853
-96.288003,200,5025.415432
-119.698315,200,5029.934656
-105.454163,200,5034.377775
-108.474707,200,5039.73768
-100.013965,200,5049.859431
-124.067038,200,5062.095007
-157.141317,200,5069.767479
-117.636306,200,5075.440716
-109.374145,200,5080.455048
-121.511307,200,5085.534523
-124.706196,200,5090.556393
-116.521547,200,5095.099735
-120.151026,200,5100.240586
-114.957024,200,5106.343811
-3.452713,43,5107.556302
-96.235072,200,5112.65164
-86.246129,200,5121.657186
-123.98874,200,5129.077904
-116.191005,200,5134.529129
-58.049406,156,5138.667536
-95.083382,200,5144.064886
-101.926853,200,5149.310727
-135.299679,200,5155.095416
-48.68674,92,5157.383358
-128.311768,200,5163.494383
-111.394553,200,5172.480648
-116.833797,200,5177.952642
7.801424,8,5178.215974
2.269558,18,5178.696571
-162.83583,200,5183.910728
-128.082187,200,5189.074913
-108.798818,200,5194.163258
-121.733874,200,5199.323659
9.383544,3,5199.475325
-113.695417,200,5204.824551
-73.449039,134,5208.355872
-126.229726,200,5213.850832
-129.948224,200,5219.744502
-124.815829,200,5225.768688
-29.949721,85,5228.581562
-108.398568,200,5234.490305
2.207845,22,5235.28774
-121.804205,200,5239.122911
-105.309744,200,5242.915609
-3.405383,37,5243.882128
-133.806897,200,5247.351776
1.732265,21,5247.789416
-145.076888,200,5251.216349
9.235681,2,5251.31966
-103.853466,200,5255.157875
-99.755174,200,5258.116938
-111.674885,200,5261.589735
6.280893,10,5261.81888
-112.71291,200,5265.023346
-110.243048,200,5267.811436
-103.469207,200,5274.543088
-90.2763,200,5281.233323
-84.597827,200,5290.039782
-102.286945,200,5295.979527
5.020972,14,5296.194771
4.737087,15,5296.395682
-96.994054,200,5299.379051
-110.422778,200,5302.206379
-124.235389,200,5304.692309
-126.016409,200,5307.168396
-108.817268,200,5309.486531
-125.121736,200,5311.815819
-108.8924,200,5314.116117
-109.434445,200,5316.964871
-104.777743,200,5319.796363
6.606001,11,5319.969246
-11.551583,50,5320.665248
-92.495323,200,5323.255021
-99.467675,200,5325.645997
5.888688,13,5325.842885
-111.427293,200,5328.330804
4.575253,15,5328.638882
-102.095289,200,5331.896899
-132.093761,200,5334.580379
-113.448906,200,5338.182958
-123.796416,200,5341.618978
-120.535751,200,5344.320845
-127.91269,200,5346.592265
-20.130491,70,5347.370315
-151.950024,200,5349.588237
6.409064,10,5349.753186
-111.272031,200,5352.34412
-104.156545,200,5354.697623
-102.051102,200,5357.161016
-125.065023,200,5359.509383
-5.71946,38,5359.945832
-125.539471,200,5362.139196
7.405439,7,5362.270995
-116.520509,200,5364.581559
-99.492826,200,5366.716374
-92.746227,200,5369.166261
-97.793281,200,5371.387142
-100.533556,200,5374.003121
-44.817512,100,5375.152698
-137.281596,200,5377.480067
-93.026372,200,5379.82301
-110.243358,200,5382.172933
-9.589503,53,5382.811893
-106.99068,200,5384.938723
-133.250662,200,5387.369402
-161.614207,200,5390.623136
6.928194,12,5390.86914
3.335654,16,5391.174543
-104.555167,200,5395.076108
-99.621703,200,5398.52987
-100.020335,200,5402.999681
-135.438204,200,5405.948403
-110.274023,200,5408.655926
-113.05139,200,5410.753639
-146.332316,200,5413.127007
-142.156568,200,5415.308469
6.532414,13,5415.539655
-94.828362,200,5418.010447
-102.896091,200,5420.134446
-52.664043,152,5421.85218
-114.946436,200,5424.456752
-121.949771,200,5427.286666
-85.864776,200,5429.768836
-155.438232,200,5433.720401
-144.181772,200,5436.146994
-124.5963,200,5438.575515
-0.150291,24,5438.899375
-90.505009,200,5441.432545
1.24278,23,5441.763153
-112.022516,200,5444.138644
-88.109629,200,5446.647165
-88.357427,200,5448.99497
-104.367335,200,5451.360324
-91.717012,200,5454.080428
-97.528538,200,5456.689567
-115.875217,200,5459.103979
-90.62695,200,5461.434889
-95.944643,159,5463.311085
-112.187213,200,5465.916828
-113.238863,200,5468.47087
-171.855752,200,5471.179442
-86.217301,200,5473.72359
3.278569,19,5473.988822
-118.469164,200,5476.614067
-111.918985,200,5479.193961
-133.319662,200,5481.560402
-97.48278,200,5484.318885
-122.985876,200,5486.98496
-127.332983,200,5489.362011
-74.810934,164,5491.382197
-117.932997,200,5493.981657
-115.598321,200,5496.306536
-118.950786,200,5498.735652
-93.541438,200,5501.555996
-96.671658,200,5504.106027
-97.443328,200,5506.546776
-28.626499,81,5507.686832
-111.125423,200,5510.261012
-108.719193,200,5512.743538
-81.784649,200,5515.577
-99.755015,200,5517.98185
-114.369869,200,5520.266069
-112.782905,200,5523.44924
-137.733874,200,5526.396014
-102.276937,200,5529.05928
-103.188744,200,5531.864472
-54.594782,126,5533.307193
-168.584221,200,5536.342764
-139.789368,200,5540.241748
-115.115863,200,5542.938835
2.706413,20,5543.215612
-173.356138,200,5546.123544
-122.428185,200,5548.462566
-91.702315,200,5551.06566
-96.743844,200,5553.821621
-116.787071,200,5557.521985
-137.57952,200,5562.216607
-5.22222,46,5563.858686
